index,motion_right,motion_left,motion_right_scaled,motion_left_scaled,time,motion_right_scaled_trat,motion_left_scaled_trat,time_ajust
209,290.4901031016375,321.14210250292626,0.17817262822806246,0.11672301511204153,0.03452811575139757,0.17817262822806246,0.11672301511204153,0.00018439977872026554
210,291.15803269015265,320.7374315542232,0.1801225519227747,0.11555054578001234,0.03469253535021374,0.1801225519227747,0.11555054578001234,0.0003687995574405311
211,292.9441072969381,320.3330298298944,0.18533673805283846,0.11437885648253543,0.03485695494902993,0.18533673805283846,0.11437885648253543,0.0005531993361607966
212,291.37647468524295,321.03154050653654,0.1807602616895987,0.11640267941591531,0.0350213745478461,0.1807602616895987,0.11640267941591531,0.0007375991148810622
213,290.2430016382824,321.03154050653654,0.17745125129450678,0.11640267941591531,0.03518579414666228,0.17745125129450678,0.11640267941591531,0.0009219988936013276
214,288.46143589741763,321.32615828780575,0.1722502281454612,0.11725628730231208,0.03535021374547846,0.1722502281454612,0.11725628730231208,0.0011063986723215931
215,288.9312201891654,320.92249843225386,0.17362169534444993,0.1160867474509274,0.03551463334429464,0.17362169534444993,0.1160867474509274,0.0012907984510418587
216,290.29984498790213,321.32615828780575,0.17761719722086822,0.11725628730231208,0.03567905294311082,0.17761719722086822,0.11725628730231208,0.0014751982297621243
217,291.8411382927362,321.03154050653654,0.18211677979255592,0.11640267941591531,0.035843472541927,0.18211677979255592,0.11640267941591531,0.00165959800848239
218,291.8604118410032,320.92249843225386,0.1821730461252551,0.1160867474509274,0.036007892140743174,0.1821730461252551,0.1160867474509274,0.0018439977872026553
219,291.9118017484048,321.32615828780575,0.18232307151690474,0.11725628730231208,0.03617231173955936,0.18232307151690474,0.11725628730231208,0.002028397565922921
220,288.277643947636,321.32615828780575,0.17171367416740912,0.11725628730231208,0.03633673133837553,0.17171367416740912,0.11725628730231208,0.0022127973446431862
221,288.76461001999536,321.03154050653654,0.1731353010863862,0.11640267941591531,0.036501150937191716,0.1731353010863862,0.11640267941591531,0.002397197123363452
222,287.94834606227556,321.32615828780575,0.17075233668465073,0.11725628730231208,0.03666557053600789,0.17075233668465073,0.11725628730231208,0.0025815969020837174
223,288.87713651308576,321.32615828780575,0.1734638058852942,0.11725628730231208,0.03682999013482407,0.1734638058852942,0.11725628730231208,0.0027659966808039832
224,290.24127893874777,321.6212834997087,0.177446222122721,0.1181113653877881,0.03699440973364025,0.177446222122721,0.1181113653877881,0.0029503964595242486
225,292.6623481078493,322.3201048647137,0.18451418290862254,0.12013608849099344,0.03715882933245643,0.18451418290862254,0.12013608849099344,0.003134796238244514
226,294.63536787018626,322.72356591981315,0.1902741283442918,0.12130505234987254,0.03732324893127261,0.1902741283442918,0.12130505234987254,0.00331919601696478
227,295.0699069712125,322.72356591981315,0.19154270231367332,0.12130505234987254,0.03748766853008879,0.19154270231367332,0.12130505234987254,0.003503595795685045
228,295.2647117418538,323.01896229168966,0.19211140662719361,0.12216091607799007,0.03765208812890496,0.19211140662719361,0.12216091607799007,0.0036879955744053105
229,301.92424546564655,323.01896229168966,0.2115529508064634,0.12216091607799007,0.037816507727721146,0.2115529508064634,0.12216091607799007,0.0038723953531255764
230,302.44214322742783,323.01896229168966,0.21306487831274556,0.12216091607799007,0.03798092732653732,0.21306487831274556,0.12216091607799007,0.004056795131845842
231,297.65920110085625,323.31486201534256,0.1991017715071728,0.12301823818735025,0.0381453469253535,0.1991017715071728,0.12301823818735025,0.004241194910566107
232,301.9457732772559,323.71785554707975,0.2116157981344965,0.12418584747208461,0.03830976652416968,0.2116157981344965,0.12418584747208461,0.0044255946892863725
233,296.0105572441631,323.01896229168966,0.19428879454734949,0.12216091607799007,0.03847418612298586,0.19428879454734949,0.12216091607799007,0.004609994468006639
234,295.97466107759965,324.01388859121454,0.1941840008880551,0.12504355585621174,0.03863860572180204,0.1941840008880551,0.12504355585621174,0.004794394246726904
235,298.197920851236,324.71295015751986,0.20067448579343494,0.12706897490425573,0.03880302532061822,0.20067448579343494,0.12706897490425573,0.0049787940254471695
236,298.73901653449957,324.4167843993279,0.20225413627163524,0.1262108820023805,0.038967444919434394,0.20225413627163524,0.1262108820023805,0.005163193804167435
237,298.2993462949592,325.11574861885725,0.20097058268652546,0.12823601900371528,0.03913186451825058,0.20097058268652546,0.12823601900371528,0.0053475935828877
238,301.3411687771852,325.11574861885725,0.20985074286386773,0.12823601900371528,0.03929628411706675,0.20985074286386773,0.12823601900371528,0.0055319933616079665
239,302.7379229630804,325.41204648875555,0.21392836441200158,0.1290944946781235,0.039460703715882936,0.21392836441200158,0.1290944946781235,0.005716393140328232
240,302.5921347292424,325.51881666041976,0.21350275677841413,0.12940384416874784,0.03962512331469911,0.21350275677841413,0.12940384416874784,0.005900792919048497
241,303.15177716780744,325.8147479780497,0.21513655182251523,0.13026125781660192,0.03978954291351529,0.21513655182251523,0.13026125781660192,0.006085192697768763
242,305.7981360309445,326.40810345333034,0.22286221324053102,0.13198041037743624,0.03995396251233147,0.22286221324053102,0.13198041037743624,0.006269592476489028
243,306.6243630242059,327.1073982654627,0.22527426328154332,0.13400650521794788,0.04011838211114765,0.22527426328154332,0.13400650521794788,0.006453992255209293
244,307.62639678675174,327.0034403488746,0.22819955572267236,0.13370530378648415,0.04028280170996383,0.22819955572267236,0.13370530378648415,0.00663839203392956
245,309.685727795131,326.70552489971766,0.2342114743403536,0.13284214143496453,0.04044722130878001,0.2342114743403536,0.13284214143496453,0.006822791812649825
